name                       ,year ,price  ,MPG      ,l/100kms ,0-60 (Mph) ,reliability /10 ,works in snow ,number of seats ,cargo space (L) ,premium gas ,weight lbs ,power (hp) ,power to weight ,monthly fuel costs ,Price to Preformance: ,Overall Score (weighted)
VW Golf R                  ,2023 , 62000 , 25      ,   9.409 ,      3.9  ,            9   ,"TRUE"        ,              5 ,        563.5   ,        1.1 ,      3401 ,       315 ,         0.0926 ,            140.85 ,                14.94 ,                    0.15
Toyota GR Corolla          ,2023 , 57000 , 24      ,   9.801 ,      5.1  ,            9   ,"TRUE"        ,              5 ,        504     ,        1.1 ,      3252 ,       300 ,         0.0923 ,            146.72 ,                16.19 ,                    0.17
Ford Mustang GT            ,2020 , 43189 , 18      ,  13.068 ,      4.6  ,            6.5 ,"FALSE"       ,              4 ,        382     ,        1.1 ,      3705 ,       460 ,         0.1242 ,            195.63 ,                28.76 ,                    0.22
Datsun Z                   ,1972 , 25000 , 17      ,  13.836 ,      8    ,            5   ,"FALSE"       ,              2 ,        180     ,        1   ,      2301 ,       151 ,         0.0656 ,            188.29 ,                26.24 ,                    0.28
Toyota GR86                ,2024 , 35000 , 23      ,  10.227 ,      5.4  ,            9   ,"FALSE"       ,              4 ,        170     ,        1.1 ,      2838 ,       228 ,         0.0803 ,            153.10 ,                22.94 ,                    0.39
Toyota Prius Prime         ,2024 , 45735 , 46      ,   5.113 ,      6.5  ,           10   ,"TRUE"        ,              5 ,        600     ,        1   ,      3536 ,       220 ,         0.0622 ,             69.58 ,                13.60 ,                    0.43
Hyundai Veloster N         ,2022 , 35000 , 23      ,  10.227 ,      5.1  ,           10   ,"TRUE"        ,              4 ,        538     ,        1.1 ,      3247 ,       275 ,         0.0847 ,            153.10 ,                24.20 ,                    0.45
Hyundai Sonata N line      ,2022 , 38000 , 27      ,   8.712 ,      5.6  ,           10   ,"TRUE"        ,              5 ,        453     ,        1   ,      3552 ,       290 ,         0.0816 ,            118.56 ,                21.47 ,                    0.48
Ford Mustang ecoboost      ,2016 , 25000 , 25      ,   9.409 ,      5.6  ,            4.8 ,"FALSE"       ,              4 ,        382     ,        1.1 ,      3532 ,       310 ,         0.0878 ,            140.85 ,                35.12 ,                    0.48
Toyota Prius AWD           ,2024 , 45235 , 52      ,   4.523 ,      7.1  ,           10   ,"TRUE"        ,              5 ,        566     ,        1   ,      3199 ,       194 ,         0.0606 ,             61.55 ,                13.40 ,                    0.48
Buick Envista              ,2024 , 29000 , 32      ,   7.35  ,      9.6  ,            9   ,"TRUE"        ,              5 ,        586     ,        1   ,      3030 ,       137 ,         0.0452 ,            100.03 ,                15.59 ,                    0.48
Nissan 370z                ,2017 , 27500 , 21      ,  11.201 ,      5.2  ,            6.5 ,"FALSE"       ,              2 ,        195     ,        1.1 ,      3353 ,       332 ,         0.099  ,            167.68 ,                36.00 ,                    0.51
civic sport                ,2024 , 33000 , 34      ,   6.918 ,      7.8  ,           10   ,"TRUE"        ,              5 ,        419     ,        1   ,      2935 ,       158 ,         0.0538 ,             94.15 ,                16.30 ,                    0.52
Mazda ND Miata             ,2016 , 28000 , 30      ,   7.841 ,      5.8  ,            8   ,"FALSE"       ,              2 ,        150     ,        1.1 ,      2381 ,       155 ,         0.0651 ,            117.38 ,                23.25 ,                    0.57
Acura TLX                  ,2018 , 25000 , 24      ,   9.801 ,      5.7  ,            8   ,"TRUE"        ,              5 ,        404     ,        1.1 ,      3765 ,       290 ,         0.077  ,            146.72 ,                30.80 ,                    0.67
Acura ILX                  ,2018 , 25995 , 29      ,   8.111 ,      7.1  ,            8.5 ,"TRUE"        ,              5 ,        348     ,        1.1 ,      3093 ,       201 ,         0.065  ,            121.42 ,                25.00 ,                    0.67
Audi TTS                   ,2012 , 23500 , 26      ,   9.047 ,      4.7  ,            6   ,"TRUE"        ,              4 ,        290     ,        1.1 ,      2893 ,       265 ,         0.0916 ,            135.43 ,                38.98 ,                    0.73
Fiat spider 124            ,2017 , 24000 , 30      ,   7.841 ,      6.5  ,            8   ,"FALSE"       ,              2 ,        140     ,        1.1 ,      2478 ,       160 ,         0.0646 ,            117.38 ,                26.92 ,                    0.76
Hyundai Elantra SEL        ,2024 , 25924 , 34      ,   6.918 ,      8.5  ,           10   ,"TRUE"        ,              5 ,        400     ,        1   ,      2868 ,       147 ,         0.0513 ,             94.15 ,                19.79 ,                    0.81
Mazda mazda3 sport         ,2018 , 25000 , 30      ,   7.841 ,      7.2  ,            9   ,"TRUE"        ,              5 ,        570     ,        1   ,      3082 ,       186 ,         0.0604 ,            106.71 ,                24.16 ,                    0.82
Hyundai Genesis coupe      ,2015 , 17500 , 19      ,  12.38  ,      5.2  ,            5   ,"FALSE"       ,              4 ,        283     ,        1.1 ,      3631 ,       348 ,         0.0958 ,            185.33 ,                54.74 ,                    0.84
Honda CRX siR              ,1991 , 26000 , 31      ,   7.588 ,      6.9  ,            8   ,"TRUE"        ,              2 ,        656     ,        1   ,      2138 ,       158 ,         0.0739 ,            103.27 ,                28.42 ,                    0.85
Toyota Corolla SE          ,2019 , 23000 , 32.5    ,   7.237 ,      8.5  ,           10   ,"TRUE"        ,              5 ,        368     ,        1   ,      2885 ,       132 ,         0.0458 ,             98.49 ,                19.91 ,                    0.88
Toyota MR2 (NA)            ,1993 , 16000 , 22      ,  10.692 ,      6.1  ,            6.5 ,"FALSE"       ,              2 ,        182     ,        1   ,      2590 ,       135 ,         0.0521 ,            145.51 ,                32.56 ,                    0.91
Subaru BRZ                 ,2014 , 18000 , 28      ,   8.401 ,      6.4  ,            5.5 ,"FALSE"       ,              4 ,        195     ,        1.1 ,      2882 ,       200 ,         0.0694 ,            125.76 ,                38.56 ,                    0.94
Audi A4                    ,2010 , 13000 , 23      ,  10.227 ,      6.7  ,            4.5 ,"TRUE"        ,              5 ,        340     ,        1.1 ,      3715 ,       211 ,         0.0568 ,            153.10 ,                43.69 ,                    0.99
Hyundai Veloster DCT Turbo ,2020 , 25000 , 30      ,   7.841 ,      6    ,           10   ,"TRUE"        ,              4 ,        566     ,        1   ,      2987 ,       201 ,         0.0673 ,            106.71 ,                26.92 ,                    1.01
Honda Civic si             ,2017 , 21100 , 29      ,   8.111 ,      6.5  ,            8   ,"TRUE"        ,              5 ,        336     ,        1.1 ,      2889 ,       205 ,         0.071  ,            121.42 ,                33.65 ,                    1.05
VW Golf Gti                ,2015 , 18500 , 28      ,   8.401 ,      5.9  ,            7.5 ,"TRUE"        ,              5 ,        645     ,        1.1 ,      3086 ,       210 ,         0.068  ,            125.76 ,                36.76 ,                    1.18
Honda Prelude              ,2001 , 14000 , 24      ,   9.801 ,      7.1  ,            6.5 ,"FALSE"       ,              4 ,        246     ,        1.1 ,      3009 ,       195 ,         0.0648 ,            146.72 ,                46.29 ,                    1.46
Ford Focus ST              ,2015 , 16000 , 26      ,   9.047 ,      6.3  ,            6.5 ,"TRUE"        ,              5 ,        674     ,        1.1 ,      3223 ,       252 ,         0.0782 ,            135.43 ,                48.88 ,                    1.47
scion TC                   ,2015 , 15000 , 27      ,   8.712 ,      6.9  ,            7   ,"TRUE"        ,              5 ,        416     ,        1   ,      3082 ,       179 ,         0.0581 ,            118.56 ,                38.73 ,                    1.52
Mazda CX-5 AWD             ,2014 , 14800 , 26      ,   9.047 ,      7.2  ,            8   ,"TRUE"        ,              5 ,        965     ,        1   ,      3532 ,       184 ,         0.0521 ,            123.12 ,                35.20 ,                    1.55
Honda Civic Si             ,2010 , 14000 , 24      ,   9.801 ,      7.4  ,            8   ,"TRUE"        ,              5 ,        340     ,        1.1 ,      2954 ,       197 ,         0.0667 ,            146.72 ,                47.64 ,                    1.86
Nissan 350z                ,2004 , 12000 , 19.8    ,  11.88  ,      5.6  ,            6   ,"FALSE"       ,              2 ,        193     ,        1.1 ,      3456 ,       286 ,         0.0828 ,            177.84 ,                69.00 ,                    1.94
Kia soul                   ,2013 , 12000 , 27      ,   8.712 ,      8.7  ,            7   ,"TRUE"        ,              5 ,        671     ,        1   ,      2690 ,       138 ,         0.0513 ,            118.56 ,                42.75 ,                    2.10
Honda Civic base           ,2012 , 13000 , 32      ,   7.35  ,      8.9  ,            9   ,"TRUE"        ,              5 ,        353     ,        1   ,      2705 ,       140 ,         0.0518 ,            100.03 ,                39.85 ,                    2.76
Acura RSX-S                ,2002 , 11000 , 24      ,   9.801 ,      7    ,            7   ,"TRUE"        ,              5 ,        504     ,        1.1 ,      2766 ,       200 ,         0.0723 ,            146.72 ,                65.73 ,                    2.85
Honda CR-Z                 ,2016 , 12000 , 40      ,   5.88  ,      8.8  ,            7   ,"TRUE"        ,              2 ,        710     ,        1   ,      2700 ,       130 ,         0.0481 ,             80.02 ,                40.08 ,                    2.92
Mazda NA miata             ,1990 ,  9000 , 24      ,   9.801 ,      9.2  ,            7   ,"FALSE"       ,              2 ,        150     ,        1   ,      2116 ,       116 ,         0.0548 ,            133.38 ,                60.89 ,                    3.55
Hyundai Tiburon V6         ,2008 ,  6500 , 20      ,  11.761 ,      7.1  ,            4.5 ,"TRUE"        ,              4 ,        420     ,        1   ,      3010 ,       172 ,         0.0571 ,            160.06 ,                87.85 ,                    3.80
Lexus ES 350               ,2007 , 11000 , 23      ,  10.227 ,      6.8  ,            9.5 ,"TRUE"        ,              5 ,        416     ,        1.1 ,      3580 ,       272 ,         0.076  ,            153.10 ,                69.09 ,                    3.90
Honda Fit Automatic        ,2013 , 10000 , 31      ,   7.588 ,      9    ,            9   ,"TRUE"        ,              5 ,        583     ,        1   ,      2577 ,       117 ,         0.0454 ,            103.27 ,                45.40 ,                    3.96
Honda accord EX V6         ,2009 ,  9600 , 22      ,  10.692 ,      6.8  ,            8   ,"TRUE"        ,              5 ,        396     ,        1   ,      3567 ,       271 ,         0.076  ,            145.51 ,                79.17 ,                    4.53
Toyota Camry V6            ,2011 , 11000 , 23      ,  10.227 ,      6    ,           10   ,"TRUE"        ,              5 ,        410     ,        1   ,      3483 ,       268 ,         0.0769 ,            139.18 ,                69.91 ,                    4.57
Hyundai veloster turbo     ,2014 , 10000 , 27      ,   8.712 ,      6.8  ,            8   ,"FALSE"       ,              4 ,        438     ,        1   ,      2888 ,       201 ,         0.0696 ,            118.56 ,                69.60 ,                    4.70
Acura RSX Base             ,2002 ,  8000 , 25      ,   9.409 ,      7.1  ,            7   ,"TRUE"        ,              4 ,        504     ,        1   ,      2769 ,       160 ,         0.0578 ,            128.05 ,                72.25 ,                    4.94
Celica                     ,2002 ,  9000 , 27      ,   8.712 ,      7.8  ,            8.5 ,"FALSE"       ,              4 ,        365     ,        1   ,      2425 ,       140 ,         0.0577 ,            118.56 ,                64.11 ,                    5.11
Scion TC                   ,2011 ,  8500 , 26      ,   9.047 ,      8.6  ,            8   ,"TRUE"        ,              5 ,        416     ,        1   ,      3101 ,       180 ,         0.058  ,            123.12 ,                68.24 ,                    5.22
Toyota Corolla XRS         ,2005 ,  8000 , 25.5    ,   9.224 ,      7.6  ,            7   ,"TRUE"        ,              5 ,        385     ,        1   ,      2670 ,       170 ,         0.0637 ,            125.53 ,                79.63 ,                    5.55
Honda Fit Manual           ,2012 ,  8700 , 31      ,   7.588 ,      8.2  ,           10   ,"TRUE"        ,              5 ,       1622.555 ,        1   ,      2509 ,       117 ,         0.0466 ,            103.27 ,                53.56 ,                    5.96
Honda Del Sol              ,1993 ,  6000 , 27      ,   8.712 ,      9    ,            5   ,"FALSE"       ,              2 ,        297     ,        1   ,      2414 ,       125 ,         0.0518 ,            118.56 ,                86.33 ,                    6.07
scion IQ                   ,2014 ,  8000 , 37      ,   6.357 ,     12    ,            8   ,"TRUE"        ,              4 ,        100     ,        1   ,      2127 ,        94 ,         0.0442 ,             86.51 ,                55.25 ,                    6.39
Porsche GT3 RS             ,2023 ,345841 , 16      ,  14.701 ,      3    ,            4.5 ,"FALSE"       ,              4 ,        130     ,        1.1 ,      3268 ,       518 ,         0.1585 ,            220.07 ,                 4.58 ,                    0.00
Tesla model S plaid        ,2023 ,124990 ,101      ,   2.329 ,      1.98 ,           10   ,"TRUE"        ,              5 ,        795     ,        1   ,      4766 ,      1021 ,         0.2142 ,             31.70 ,                17.14 ,                    0.43
Toyota Corolla CE          ,2005 ,  6000 , 31.1363 ,   7.554 ,      9.5  ,            9   ,"TRUE"        ,              5 ,        385     ,        1   ,      2580 ,       130 ,         0.0504 ,            102.80 ,                84.00 ,                   12.26
